point_id,longitude,latitude,depth,log_clay_sand,log_silt_sand
ctb0020-Fazenda-Cajupi-SPD18-area01,-45.0936111111111,-8.30361111111111,5,-1.47181653455805,-0.891998039305111
ctb0020-Fazenda-Cajupi-SPD18-area01,-45.0936111111111,-8.30361111111111,15,-1.71297859137494,-0.778669353998107
ctb0020-Fazenda-Cajupi-SPD18-area01,-45.0936111111111,-8.30361111111111,25,-2.24374459297111,-0.893817876022096
ctb0020-Fazenda-Cajupi-SPD18-area01,-45.0936111111111,-8.30361111111111,40,-2.07944154167984,-0.826678573184468
ctb0020-Fazenda-Cajupi-SPD18-area02,-45.0935551069734,-8.3038801940129,5,-1.96165850602345,-0.863046217355343
ctb0020-Fazenda-Cajupi-SPD18-area02,-45.0935551069734,-8.3038801940129,15,-2.24374459297111,-0.893817876022096
ctb0020-Fazenda-Cajupi-SPD18-area02,-45.0935551069734,-8.3038801940129,25,-2.04769284336526,-0.725937003382936
ctb0020-Fazenda-Cajupi-SPD18-area02,-45.0935551069734,-8.3038801940129,40,-1.89711998488588,-0.660357357736954
ctb0020-Fazenda-Laginski-MN,-44.9430555555556,-8.50861111111111,5,-3.28341434600577,-1.54881329061767
ctb0020-Fazenda-Laginski-MN,-44.9430555555556,-8.50861111111111,15,-2.22462355152433,-1.41369333530801
ctb0020-Fazenda-Laginski-MN,-44.9430555555556,-8.50861111111111,25,-2.69462718077007,-1.25954265548075
ctb0020-Fazenda-Laginski-MN,-44.9430555555556,-8.50861111111111,40,-3.58351893845611,-1.01856958099457
ctb0020-Fazenda-Laginski-SPD10-area01,-44.9494444444444,-8.47944444444444,5,-2.39789527279837,-1.5712166996139
ctb0020-Fazenda-Laginski-SPD10-area01,-44.9494444444444,-8.47944444444444,15,-2.12026353620009,-1.54489939129653
ctb0020-Fazenda-Laginski-SPD10-area01,-44.9494444444444,-8.47944444444444,25,-3.67630067190708,-1.42500887330058
ctb0020-Fazenda-Laginski-SPD10-area01,-44.9494444444444,-8.47944444444444,40,-2.55204595262563,-1.51059207779747
ctb0020-Fazenda-Laginski-SPD10-area02,-44.949380029721,-8.47925191605917,5,-2.56494935746154,-1.58412010444981
ctb0020-Fazenda-Laginski-SPD10-area02,-44.949380029721,-8.47925191605917,15,-3.03254624667671,-1.85389125033506
ctb0020-Fazenda-Laginski-SPD10-area02,-44.949380029721,-8.47925191605917,25,-3.00815479355255,-1.68639895357023
ctb0020-Fazenda-Laginski-SPD10-area02,-44.949380029721,-8.47925191605917,40,-2.73436750941958,-1.45343366395752
ctb0020-Fazenda-Laginski-SPD6-area01,-44.9625,-8.495,5,-2.51230562397612,-1.30833281965018
ctb0020-Fazenda-Laginski-SPD6-area01,-44.9625,-8.495,15,-4.27666611901606,-0.980829253011726
ctb0020-Fazenda-Laginski-SPD6-area01,-44.9625,-8.495,25,-3.52636052461616,-0.818310323513951
ctb0020-Fazenda-Laginski-SPD6-area01,-44.9625,-8.495,40,-4.33073334028633,-1.19523912435718
ctb0020-Fazenda-Laginski-SPD6-area02,-44.9623409067841,-8.4951873317518,5,-4.24849524204936,-0.881199412062885
ctb0020-Fazenda-Laginski-SPD6-area02,-44.9623409067841,-8.4951873317518,15,-4.23410650459726,-0.832909122935104
ctb0020-Fazenda-Laginski-SPD6-area02,-44.9623409067841,-8.4951873317518,25,-4.24849524204936,-0.881199412062885
ctb0020-Fazenda-Laginski-SPD6-area02,-44.9623409067841,-8.4951873317518,40,-3.54095932403731,-0.866810674610785
ctb0020-Fazenda-Tres-Irmaos-MN,-44.7583333333333,-9.30972222222222,5,-1.83621123179889,-1.23837423104327
ctb0020-Fazenda-Tres-Irmaos-MN,-44.7583333333333,-9.30972222222222,15,-2.38482319123102,-1.49751999623012
ctb0020-Fazenda-Tres-Irmaos-MN,-44.7583333333333,-9.30972222222222,25,-1.56563528977571,-1.26025364022453
ctb0020-Fazenda-Tres-Irmaos-MN,-44.7583333333333,-9.30972222222222,40,-1.58045037556085,-1.32913594727994
ctb0020-Fazenda-Tres-Irmaos-SPD14-area01,-44.7719444444444,-9.31611111111111,5,-2.66722820658196,-1.14117190308691
ctb0020-Fazenda-Tres-Irmaos-SPD14-area01,-44.7719444444444,-9.31611111111111,15,-2.62466859216316,-0.976009966575777
